round_id,score_average,par,difference
28,4.75,3,1.75
28,6.92,4,2.92
28,8.00,5,3.00
29,5.17,3,2.17
29,6.80,4,2.80
29,8.15,5,3.15
30,4.50,3,1.50
30,4.80,4,0.80
30,6.00,5,1.00
30,5.00,,
31,4.33,3,1.33
31,6.00,4,2.00
31,7.50,5,2.50
32,6.53,3,3.53
32,7.13,4,3.13
32,8.33,5,3.33
33,4.00,3,1.00
33,5.67,4,1.67
33,7.20,5,2.20
34,4.50,3,1.50
34,5.50,4,1.50
34,7.00,5,2.00
35,4.33,3,1.33
35,5.25,4,1.25
36,4.25,3,1.25
36,5.75,4,1.75
36,6.00,5,1.00
37,4.33,3,1.33
37,5.50,4,1.50
37,6.00,5,1.00
38,5.71,3,2.71
38,5.57,4,1.57
38,7.25,5,2.25
