round_date,golfer,course_name,round_number,game,stroke_index,hole,yards,par,score,vs_par
2022-09-12,1,Godstone,1,Singles,13,1,303,4,5,1
2022-09-12,1,Godstone,1,Singles,7,2,323,4,9,5
2022-09-12,1,Godstone,1,Singles,5,3,490,5,8,3
2022-09-12,1,Godstone,1,Singles,17,4,152,3,7,4
2022-09-12,1,Godstone,1,Singles,1,5,388,4,5,1
2022-09-12,1,Godstone,1,Singles,11,6,340,4,4,0
2022-09-12,1,Godstone,1,Singles,3,7,517,5,8,3
2022-09-12,1,Godstone,1,Singles,15,8,141,3,5,2
2022-09-12,1,Godstone,1,Singles,9,9,385,4,6,2
2022-10-08,1,Southmapton Municipal,2,Singles,12,4,328,4,6,2
2022-10-08,1,Southmapton Municipal,2,Singles,14,1,154,3,5,2
2022-10-08,1,Southmapton Municipal,2,Singles,4,2,455,5,8,3
2022-10-08,1,Southmapton Municipal,2,Singles,16,3,295,4,5,1
2022-10-08,1,Southmapton Municipal,2,Singles,12,4,328,4,6,2
2022-10-08,1,Southmapton Municipal,2,Singles,8,5,173,3,5,2
2022-10-08,1,Southmapton Municipal,2,Singles,10,6,336,4,9,5
2022-10-08,1,Southmapton Municipal,2,Singles,2,7,441,4,8,4
2022-10-08,1,Southmapton Municipal,2,Singles,6,8,379,4,5,1
2022-10-08,1,Southmapton Municipal,2,Singles,18,9,319,4,9,5
2022-10-08,1,Southmapton Municipal,2,Singles,14,1,154,3,5,2
2022-10-08,1,Southmapton Municipal,2,Singles,4,2,455,5,9,4
2022-10-08,1,Southmapton Municipal,2,Singles,16,3,295,4,7,3
2022-10-08,1,Southmapton Municipal,2,Singles,8,5,173,3,5,2
2022-10-08,1,Southmapton Municipal,2,Singles,10,6,336,4,6,2
2022-10-08,1,Southmapton Municipal,2,Singles,2,7,441,4,7,3
2022-10-08,1,Southmapton Municipal,2,Singles,6,8,379,4,8,4
2022-10-08,1,Southmapton Municipal,2,Singles,18,9,319,4,6,2
2022-10-14,1,Southmapton Municipal,5,Singles,14,1,154,3,5,2
2022-10-14,1,Southmapton Municipal,5,Singles,10,6,336,4,6,2
2022-10-14,1,Southmapton Municipal,5,Singles,4,2,455,5,8,3
2022-10-14,1,Southmapton Municipal,5,Singles,4,2,455,5,9,4
2022-10-14,1,Southmapton Municipal,5,Singles,16,3,295,4,5,1
2022-10-14,1,Southmapton Municipal,5,Singles,6,8,379,4,8,4
2022-10-14,1,Southmapton Municipal,5,Singles,12,4,328,4,6,2
2022-10-14,1,Southmapton Municipal,5,Singles,16,3,295,4,7,3
2022-10-14,1,Southmapton Municipal,5,Singles,8,5,173,3,5,2
2022-10-14,1,Southmapton Municipal,5,Singles,2,7,441,4,7,3
2022-10-14,1,Southmapton Municipal,5,Singles,10,6,336,4,9,5
2022-10-14,1,Southmapton Municipal,5,Singles,12,4,328,4,6,2
2022-10-14,1,Southmapton Municipal,5,Singles,2,7,441,4,8,4
2022-10-14,1,Southmapton Municipal,5,Singles,14,1,154,3,5,2
2022-10-14,1,Southmapton Municipal,5,Singles,6,8,379,4,5,1
2022-10-14,1,Southmapton Municipal,5,Singles,8,5,173,3,5,2
2022-10-14,1,Southmapton Municipal,5,Singles,18,9,319,4,9,5
2022-10-14,1,Southmapton Municipal,5,Singles,18,9,319,4,6,2
