course_id,course_name,round_date,par,score
1,Godstone Golf Club,2022-09,72,57
1,Godstone Golf Club,2023-05,72,45
2,The Oaks,2022-09,72,92
2,The Oaks,2023-01,72,108
2,The Oaks,2023-02,72,104
2,The Oaks,2023-12,72,102
3,Southampton Municipal - 18,2022-10,70,60
3,Southampton Municipal - 18,2022-10,70,60
3,Southampton Municipal - 18,2022-11,70,119
3,Southampton Municipal - 18,2022-12,70,55
3,Southampton Municipal - 18,2023-02,70,108
3,Southampton Municipal - 18,2023-03,70,44
3,Southampton Municipal - 18,2023-04,70,52
3,Southampton Municipal - 18,2023-04,70,118
4,Hurtmore Golf Club,2022-10,70,121
4,Hurtmore Golf Club,2022-12,70,132
4,Hurtmore Golf Club,2023-02,70,103
4,Hurtmore Golf Club,2024-01,70,95
4,Hurtmore Golf Club,2024-04,70,97
5,Alton Golf Club,2022-10,35,66
6,Ampfield Golf Club,2022-11,,83
6,Ampfield Golf Club,2022-12,,77
6,Ampfield Golf Club,2023-01,,90
6,Ampfield Golf Club,2023-01,,83
7,Boundary Lakes,2022-11,69,114
7,Boundary Lakes,2023-03,69,99
7,Boundary Lakes,2023-03,69,103
7,Boundary Lakes,2023-04,69,109
8,Paultons Golf Centre,2022-11,71,110
8,Paultons Golf Centre,2023-07,71,108
9,Etchinghill Golf Trust,2022-12,70,133
9,Etchinghill Golf Trust,2023-05,70,121
10,Bletchingly Golf Club,2022-12,72,126
11,Chilworth Golf Club,2023-01,69,52
12,Coulsdon Manor Golf Club,2023-03,70,82
13,Southampton Municipal - 9,2023-06,33,46
13,Southampton Municipal - 9,2023-06,33,47
14,Weybrook Park Golf Club - West Course,2023-07,72,96
15,Weybrook Park Golf Club - East Course,2023-05,35,52
16,Rookwood Golf Centre,2023-06,73,103
17,Dorking Golf Club,2023-06,66,89
17,Dorking Golf Club,2024-04,66,52
18,Gatton Mannor Golf Club,2023-07,70,117
19,Hoebridge Golf Club,2023-08,72,109
20,Silvermere Golf Club,2024-01,72,117
20,Silvermere Golf Club,2024-03,72,99
