player_id,course_name,round_id,round_date,hole_number,par_yellow,yards_yellow,stroke_index,score,score_vs_par
1,Alton Golf Club,6,2022-10-22,1,4,280,18,6,2
1,Alton Golf Club,6,2022-10-22,2,4,370,4,9,5
1,Alton Golf Club,6,2022-10-22,3,3,176,8,8,5
1,Alton Golf Club,6,2022-10-22,4,5,468,14,9,4
1,Alton Golf Club,6,2022-10-22,5,3,180,12,9,6
1,Alton Golf Club,6,2022-10-22,6,4,292,16,6,2
1,Alton Golf Club,6,2022-10-22,7,4,371,6,6,2
1,Alton Golf Club,6,2022-10-22,8,4,362,10,8,4
1,Alton Golf Club,6,2022-10-22,9,4,416,2,5,1
4,Alton Golf Club,6,2022-10-22,1,4,280,18,8,4
4,Alton Golf Club,6,2022-10-22,2,4,370,4,7,3
4,Alton Golf Club,6,2022-10-22,3,3,176,8,5,2
4,Alton Golf Club,6,2022-10-22,4,5,468,14,7,2
4,Alton Golf Club,6,2022-10-22,5,3,180,12,4,1
4,Alton Golf Club,6,2022-10-22,6,4,292,16,5,1
4,Alton Golf Club,6,2022-10-22,7,4,371,6,5,1
4,Alton Golf Club,6,2022-10-22,8,4,362,10,4,0
4,Alton Golf Club,6,2022-10-22,9,4,416,2,7,3
